index_P,index_sent,full_word,lesks,lesks_name
31,3,official- denied- trade- reports- government- might- substituted- private- deal- Islamic- Corp- original- tender,"[Synset('official.s.05'), Synset('traverse.v.03'), Synset('trade.v.03'), Synset('reputation.n.03'), Synset('government.n.03'), Synset('might.n.01'), Synset('substitute.v.03'), Synset('secret.s.05'), Synset('hand.n.06'), Synset('muslim.a.01'), Synset('corporation.n.01'), Synset('original.n.02'), Synset('tender.v.04')]","['official.s.05', 'traverse.v.03', 'trade.v.03', 'reputation.n.03', 'government.n.03', 'might.n.01', 'substitute.v.03', 'secret.s.05', 'hand.n.06', 'muslim.a.01', 'corporation.n.01', 'original.n.02', 'tender.v.04']"
31,4,,[],[]
32,0,USDA- ESTIMATES- USSR- GRAIN- IMPORTS- MLN- TONNES- VS- MARCH- YEAR- AGO- USDA- ESTIMATES- USSR- GRAIN- IMPORTS- MLN- TONNES- VS- MARCH- YEAR- AGO,"[Synset('department_of_agriculture.n.01'), Synset('estimate.v.01'), Synset('soviet_union.n.01'), Synset('texture.n.05'), Synset('spell.v.02'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('parade.v.01'), Synset('year.n.03'), Synset('ago.s.01'), Synset('department_of_agriculture.n.01'), Synset('estimate.v.01'), Synset('soviet_union.n.01'), Synset('texture.n.05'), Synset('spell.v.02'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('parade.v.01'), Synset('year.n.03'), Synset('ago.s.01')]","['department_of_agriculture.n.01', 'estimate.v.01', 'soviet_union.n.01', 'texture.n.05', 'spell.v.02', 'metric_ton.n.01', 'volt.n.01', 'parade.v.01', 'year.n.03', 'ago.s.01', 'department_of_agriculture.n.01', 'estimate.v.01', 'soviet_union.n.01', 'texture.n.05', 'spell.v.02', 'metric_ton.n.01', 'volt.n.01', 'parade.v.01', 'year.n.03', 'ago.s.01']"
33,0,USDA- ESTIMATES- SOVIET- GRAIN- CROP- MLN- TONNES- VS- MARCH- YEAR- AGO- USDA- ESTIMATES- SOVIET- GRAIN- CROP- MLN- TONNES- VS- MARCH- YEAR- AGO,"[Synset('department_of_agriculture.n.01'), Synset('estimate.v.01'), Synset('soviet.n.01'), Synset('texture.n.05'), Synset('snip.v.02'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('parade.v.01'), Synset('year.n.03'), Synset('ago.s.01'), Synset('department_of_agriculture.n.01'), Synset('estimate.v.01'), Synset('soviet.n.01'), Synset('texture.n.05'), Synset('snip.v.02'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('parade.v.01'), Synset('year.n.03'), Synset('ago.s.01')]","['department_of_agriculture.n.01', 'estimate.v.01', 'soviet.n.01', 'texture.n.05', 'snip.v.02', 'metric_ton.n.01', 'volt.n.01', 'parade.v.01', 'year.n.03', 'ago.s.01', 'department_of_agriculture.n.01', 'estimate.v.01', 'soviet.n.01', 'texture.n.05', 'snip.v.02', 'metric_ton.n.01', 'volt.n.01', 'parade.v.01', 'year.n.03', 'ago.s.01']"
34,0,USDA- U- ENDING- CORN- STOCKS- MLN- BU- WHEAT- MLN- SOYBEANS- MLN- USDA- U- ENDING- CORN- STOCKS- MLN- BU- WHEAT- MLN- SOYBEANS- MLN,"[Synset('department_of_agriculture.n.01'), Synset('uranium.n.01'), Synset('termination.n.05'), Synset('corn_whiskey.n.01'), Synset('store.n.02'), Synset('wheat.n.02'), Synset('soy.n.04'), Synset('department_of_agriculture.n.01'), Synset('uranium.n.01'), Synset('termination.n.05'), Synset('corn_whiskey.n.01'), Synset('store.n.02'), Synset('wheat.n.02'), Synset('soy.n.04')]","['department_of_agriculture.n.01', 'uranium.n.01', 'termination.n.05', 'corn_whiskey.n.01', 'store.n.02', 'wheat.n.02', 'soy.n.04', 'department_of_agriculture.n.01', 'uranium.n.01', 'termination.n.05', 'corn_whiskey.n.01', 'store.n.02', 'wheat.n.02', 'soy.n.04']"
35,0,U- SUPPLY- DEMAND- HIGHLIGHTS- Following- highlights- U- Agriculture- Department- supply- demand- projections- seasons- mln- bushels- comparisons- unless- noted- Corn- Stocks- Aug- vs- last- month,"[Synset('uranium.n.01'), Synset('supply.v.01'), Synset('need.n.01'), Synset('highlight.v.02'), Synset('take_after.v.02'), Synset('highlight.v.02'), Synset('uranium.n.01'), Synset('agribusiness.n.01'), Synset('department.n.03'), Synset('supply.v.01'), Synset('need.n.01'), Synset('projection.n.08'), Synset('season.n.03'), Synset('bushel.n.02'), Synset('comparison.n.03'), Synset('note.v.04'), Synset('corn_whiskey.n.01'), Synset('store.n.02'), Synset('august.n.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['uranium.n.01', 'supply.v.01', 'need.n.01', 'highlight.v.02', 'take_after.v.02', 'highlight.v.02', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'supply.v.01', 'need.n.01', 'projection.n.08', 'season.n.03', 'bushel.n.02', 'comparison.n.03', 'note.v.04', 'corn_whiskey.n.01', 'store.n.02', 'august.n.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,1,Stocks- Aug- vs- last- month,"[Synset('store.n.02'), Synset('august.n.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['store.n.02', 'august.n.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,2,Exports- projected- vs- last- month,"[Synset('export.v.02'), Synset('project.v.06'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'project.v.06', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,3,Exports- vs- last- month,"[Synset('export.v.02'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,4,Domestic- use- vs- last- month,"[Synset('domestic.s.05'), Synset('use.v.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['domestic.s.05', 'use.v.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,5,Usage- season- vs- last- month,"[Synset('usage.n.03'), Synset('season.n.03'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['usage.n.03', 'season.n.03', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,6,Wheat- Stocks- May- projected- vs- last- month,"[Synset('pale_yellow.n.01'), Synset('store.n.02'), Synset('whitethorn.n.01'), Synset('project.v.06'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['pale_yellow.n.01', 'store.n.02', 'whitethorn.n.01', 'project.v.06', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,7,Stocks- May- vs- last- month,"[Synset('store.n.02'), Synset('whitethorn.n.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['store.n.02', 'whitethorn.n.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,8,Exports- season- vs- last- month,"[Synset('export.v.02'), Synset('season.n.03'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'season.n.03', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,9,season- vs- last- month,"[Synset('season.n.03'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['season.n.03', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,10,Domestic- use- vs- last- month,"[Synset('domestic.s.05'), Synset('use.v.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['domestic.s.05', 'use.v.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,11,vs- last- month,"[Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['volt.n.01', 'last.v.01', 'month.n.02']"
35,12,Cotton- mln- lb- bales- Stocks- July- vs- last- month,"[Synset('cotton.v.01'), Synset('pound.n.01'), Synset('basel.n.01'), Synset('store.n.02'), Synset('july.n.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['cotton.v.01', 'pound.n.01', 'basel.n.01', 'store.n.02', 'july.n.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,13,Stocks- July- vs- last- month,"[Synset('store.n.02'), Synset('july.n.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['store.n.02', 'july.n.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,14,Exports- season- vs- last- month,"[Synset('export.v.02'), Synset('season.n.03'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'season.n.03', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,15,Exports- vs- last- month,"[Synset('export.v.02'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,16,Soybeans- mln- bushels- Stocks- Aug- projected- vs- last- month,"[Synset('soy.n.04'), Synset('repair.v.01'), Synset('store.n.02'), Synset('august.n.01'), Synset('project.v.06'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['soy.n.04', 'repair.v.01', 'store.n.02', 'august.n.01', 'project.v.06', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,17,Stocks- Aug- vs- last- month,"[Synset('store.n.02'), Synset('august.n.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['store.n.02', 'august.n.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,18,Soybean- crushings- vs- last- month,"[Synset('soy.n.04'), Synset('beat.v.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['soy.n.04', 'beat.v.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,19,Crushings- vs- last- month,"[Synset('beat.v.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['beat.v.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,20,Exports- season- vs- last- month,"[Synset('export.v.02'), Synset('season.n.03'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'season.n.03', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,21,Exports- vs- last- month,"[Synset('export.v.02'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,22,Soybean- Oil- mln- lbs- Stocks- Sept- vs- last- month,"[Synset('soy.n.04'), Synset('vegetable_oil.n.01'), Synset('pound.n.01'), Synset('store.n.02'), Synset('family.n.04'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['soy.n.04', 'vegetable_oil.n.01', 'pound.n.01', 'store.n.02', 'family.n.04', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,23,Stocks- Sept- vs- last- month,"[Synset('store.n.02'), Synset('family.n.04'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['store.n.02', 'family.n.04', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,24,Exports- vs- last- month,"[Synset('export.v.02'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,25,Exports- vs- last- month,"[Synset('export.v.02'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,26,Soybean- Cake- Meal- thousand- short- tons- Stocks- Sept- vs- last- month,"[Synset('soy.n.04'), Synset('coat.v.03'), Synset('meal.n.03'), Synset('thousand.s.01'), Synset('shortstop.n.02'), Synset('tons.n.01'), Synset('store.n.02'), Synset('family.n.04'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['soy.n.04', 'coat.v.03', 'meal.n.03', 'thousand.s.01', 'shortstop.n.02', 'tons.n.01', 'store.n.02', 'family.n.04', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,27,Stocks- Sept- vs- last- month,"[Synset('store.n.02'), Synset('family.n.04'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['store.n.02', 'family.n.04', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,28,Exports- season- vs- last- month,"[Synset('export.v.02'), Synset('season.n.03'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'season.n.03', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,29,Exports- vs- last- month,"[Synset('export.v.02'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['export.v.02', 'volt.n.01', 'last.v.01', 'month.n.02']"
35,30,,[],[]
36,0,,[],[]
36,1,According- department- Export- Sales- Report- covering- transactions- week- ended- April- corn- transactions- consisted- tonnes- new- sales- changes- destinations- tonnes,"[Synset('harmonize.v.01'), Synset('department.n.03'), Synset('export.v.02'), Synset('sale.n.05'), Synset('reputation.n.03'), Synset('shroud.v.01'), Synset('minutes.n.01'), Synset('workweek.n.01'), Synset('end.v.01'), Synset('april.n.01'), Synset('corn_whiskey.n.01'), Synset('minutes.n.01'), Synset('dwell.v.02'), Synset('metric_ton.n.01'), Synset('newfangled.s.01'), Synset('sale.n.05'), Synset('variety.n.06'), Synset('finish.n.04'), Synset('metric_ton.n.01')]","['harmonize.v.01', 'department.n.03', 'export.v.02', 'sale.n.05', 'reputation.n.03', 'shroud.v.01', 'minutes.n.01', 'workweek.n.01', 'end.v.01', 'april.n.01', 'corn_whiskey.n.01', 'minutes.n.01', 'dwell.v.02', 'metric_ton.n.01', 'newfangled.s.01', 'sale.n.05', 'variety.n.06', 'finish.n.04', 'metric_ton.n.01']"
36,2,Total- corn- commitments- USSR- delivery- fourth- agreement- year- amount- tonnes,"[Synset('sum.n.02'), Synset('corn_whiskey.n.01'), Synset('commitment.n.05'), Synset('soviet_union.n.01'), Synset('pitch.n.02'), Synset('fourth.n.01'), Synset('agreement.n.06'), Synset('year.n.03'), Synset('sum.n.02'), Synset('metric_ton.n.01')]","['sum.n.02', 'corn_whiskey.n.01', 'commitment.n.05', 'soviet_union.n.01', 'pitch.n.02', 'fourth.n.01', 'agreement.n.06', 'year.n.03', 'sum.n.02', 'metric_ton.n.01']"
36,3,Soviets- purchased- wheat- soybeans- fourth- year- agreement,"[Synset('soviet.n.01'), Synset('buy.v.01'), Synset('pale_yellow.n.01'), Synset('soy.n.04'), Synset('fourth.n.01'), Synset('year.n.03'), Synset('agreement.n.06')]","['soviet.n.01', 'buy.v.01', 'pale_yellow.n.01', 'soy.n.04', 'fourth.n.01', 'year.n.03', 'agreement.n.06']"
36,4,,[],[]
37,0,USDA- DETAILS- FREE- GRAIN- STOCKS- LOAN- U- Agriculture- Department- gave- projected- carryover- free- stocks- feedgrains- corn- wheat- loans- comparisons- follows- mln- bushels- except- feedgrains- mln- tonnes- Regular- Nine- Month- Loan- WHEAT- FEEDGRAINS- CORN- Special- Producer- Storage- Loan- Program- WHEAT- FEEDGRAINS- CORN,"[Synset('department_of_agriculture.n.01'), Synset('detail.v.02'), Synset('release.v.09'), Synset('texture.n.05'), Synset('store.n.02'), Synset('loanword.n.01'), Synset('uranium.n.01'), Synset('agribusiness.n.01'), Synset('department.n.03'), Synset('give.v.43'), Synset('project.v.06'), Synset('release.v.09'), Synset('store.n.02'), Synset('corn_whiskey.n.01'), Synset('pale_yellow.n.01'), Synset('loanword.n.01'), Synset('comparison.n.03'), Synset('take_after.v.02'), Synset('bushel.n.02'), Synset('exclude.v.01'), Synset('metric_ton.n.01'), Synset('regular.s.07'), Synset('nine.s.01'), Synset('month.n.02'), Synset('loanword.n.01'), Synset('pale_yellow.n.01'), Synset('corn_whiskey.n.01'), Synset('special.s.04'), Synset('producer.n.02'), Synset('storehouse.n.01'), Synset('loanword.n.01'), Synset('program.v.02'), Synset('pale_yellow.n.01'), Synset('corn_whiskey.n.01')]","['department_of_agriculture.n.01', 'detail.v.02', 'release.v.09', 'texture.n.05', 'store.n.02', 'loanword.n.01', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'give.v.43', 'project.v.06', 'release.v.09', 'store.n.02', 'corn_whiskey.n.01', 'pale_yellow.n.01', 'loanword.n.01', 'comparison.n.03', 'take_after.v.02', 'bushel.n.02', 'exclude.v.01', 'metric_ton.n.01', 'regular.s.07', 'nine.s.01', 'month.n.02', 'loanword.n.01', 'pale_yellow.n.01', 'corn_whiskey.n.01', 'special.s.04', 'producer.n.02', 'storehouse.n.01', 'loanword.n.01', 'program.v.02', 'pale_yellow.n.01', 'corn_whiskey.n.01']"
38,0,USDA- ESTIMATES- SOVIET- WHEAT- COARSE- GRAINS- U- Agriculture- Department- forecast- Soviet- wheat- crop- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('department_of_agriculture.n.01'), Synset('estimate.n.05'), Synset('soviet.n.01'), Synset('pale_yellow.n.01'), Synset('coarse.s.03'), Synset('texture.n.05'), Synset('uranium.n.01'), Synset('agribusiness.n.01'), Synset('department.n.03'), Synset('prognosis.n.01'), Synset('soviet.n.01'), Synset('pale_yellow.n.01'), Synset('crop.v.05'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['department_of_agriculture.n.01', 'estimate.n.05', 'soviet.n.01', 'pale_yellow.n.01', 'coarse.s.03', 'texture.n.05', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'prognosis.n.01', 'soviet.n.01', 'pale_yellow.n.01', 'crop.v.05', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,1,put- crop- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('put_option.n.02'), Synset('crop.v.05'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['put_option.n.02', 'crop.v.05', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,2,Soviet- coarse- grain- production- estimated- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('soviet.n.01'), Synset('coarse.s.03'), Synset('texture.n.05'), Synset('production.n.06'), Synset('estimate.v.01'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['soviet.n.01', 'coarse.s.03', 'texture.n.05', 'production.n.06', 'estimate.v.01', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,3,Production- projected- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('production.n.06'), Synset('project.v.06'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['production.n.06', 'project.v.06', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,4,USSR- wheat- imports- forecast- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('soviet_union.n.01'), Synset('pale_yellow.n.01'), Synset('significance.n.02'), Synset('prognosis.n.01'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['soviet_union.n.01', 'pale_yellow.n.01', 'significance.n.02', 'prognosis.n.01', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,5,Imports- put- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('significance.n.02'), Synset('put_option.n.02'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['significance.n.02', 'put_option.n.02', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,6,USDA- estimated- Soviet- coarse- grain- imports- mln- tonnes- vs- mln- tonnes- last- month- imports- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('department_of_agriculture.n.01'), Synset('estimate.v.01'), Synset('soviet.n.01'), Synset('coarse.s.03'), Synset('texture.n.05'), Synset('significance.n.02'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02'), Synset('significance.n.02'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['department_of_agriculture.n.01', 'estimate.v.01', 'soviet.n.01', 'coarse.s.03', 'texture.n.05', 'significance.n.02', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02', 'significance.n.02', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,7,USDA- said- Soviet- coarse- grain- imports- include- corn- imports- forecast- mln- tonnes- vs- mln- tonnes- last- month,"[Synset('department_of_agriculture.n.01'), Synset('suppose.v.01'), Synset('soviet.n.01'), Synset('coarse.s.03'), Synset('texture.n.05'), Synset('significance.n.02'), Synset('include.v.03'), Synset('corn_whiskey.n.01'), Synset('significance.n.02'), Synset('prognosis.n.01'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('metric_ton.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['department_of_agriculture.n.01', 'suppose.v.01', 'soviet.n.01', 'coarse.s.03', 'texture.n.05', 'significance.n.02', 'include.v.03', 'corn_whiskey.n.01', 'significance.n.02', 'prognosis.n.01', 'metric_ton.n.01', 'volt.n.01', 'metric_ton.n.01', 'last.v.01', 'month.n.02']"
38,8,Corn- imports- estimated- mln- tonnes- vs- mln- last- month,"[Synset('corn_whiskey.n.01'), Synset('significance.n.02'), Synset('estimate.v.01'), Synset('metric_ton.n.01'), Synset('volt.n.01'), Synset('last.v.01'), Synset('month.n.02')]","['corn_whiskey.n.01', 'significance.n.02', 'estimate.v.01', 'metric_ton.n.01', 'volt.n.01', 'last.v.01', 'month.n.02']"
38,9,Total- Soviet- grain- imports- mln- tonnes- include- one- mln- tonnes- miscellaneous- grains,"[Synset('sum.n.02'), Synset('soviet.n.01'), Synset('texture.n.05'), Synset('significance.n.02'), Synset('metric_ton.n.01'), Synset('include.v.03'), Synset('one.s.06'), Synset('metric_ton.n.01'), Synset('assorted.s.01'), Synset('texture.n.05')]","['sum.n.02', 'soviet.n.01', 'texture.n.05', 'significance.n.02', 'metric_ton.n.01', 'include.v.03', 'one.s.06', 'metric_ton.n.01', 'assorted.s.01', 'texture.n.05']"
38,10,,[],[]
39,0,WHEAT- CLASS- BREAKDOWN- U- Agriculture- Department- gave- breakdown- supply- distribution- wheats- classes- mln- bushels- comparisons- follows,"[Synset('pale_yellow.n.01'), Synset('course.n.01'), Synset('breakdown.n.03'), Synset('uranium.n.01'), Synset('agribusiness.n.01'), Synset('department.n.03'), Synset('give.v.43'), Synset('breakdown.n.03'), Synset('supply.v.01'), Synset('distribution.n.04'), Synset('pale_yellow.n.01'), Synset('course.n.01'), Synset('repair.v.01'), Synset('comparison.n.03'), Synset('take_after.v.02')]","['pale_yellow.n.01', 'course.n.01', 'breakdown.n.03', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'give.v.43', 'breakdown.n.03', 'supply.v.01', 'distribution.n.04', 'pale_yellow.n.01', 'course.n.01', 'repair.v.01', 'comparison.n.03', 'take_after.v.02']"
39,1,HARD- WINTER- Start- Stocks- Production- Ttl- Supply- X- Domestic- Use- Exports- Total- Use- End- Stocks- Note- Season- begins- June,"[Synset('hard.s.10'), Synset('winter.v.01'), Synset('startle.n.01'), Synset('store.n.02'), Synset('production.n.06'), Synset('supply.v.01'), Synset('x.n.02'), Synset('domestic.s.05'), Synset('use.v.01'), Synset('export.v.02'), Synset('sum.n.02'), Synset('use.v.01'), Synset('goal.n.01'), Synset('store.n.02'), Synset('note.v.04'), Synset('season.n.03'), Synset('begin.v.10'), Synset('june.n.01')]","['hard.s.10', 'winter.v.01', 'startle.n.01', 'store.n.02', 'production.n.06', 'supply.v.01', 'x.n.02', 'domestic.s.05', 'use.v.01', 'export.v.02', 'sum.n.02', 'use.v.01', 'goal.n.01', 'store.n.02', 'note.v.04', 'season.n.03', 'begin.v.10', 'june.n.01']"
39,2,X- Includes- imports- HARD- SPRING- Start- Stocks- Production- Ttl- Supply- X- Domestic- Use- Exports- Total- Use- End- Stocks- Note- Season- begins- June,"[Synset('x.n.02'), Synset('include.v.03'), Synset('significance.n.02'), Synset('hard.s.10'), Synset('spring.n.04'), Synset('startle.n.01'), Synset('store.n.02'), Synset('production.n.06'), Synset('supply.v.01'), Synset('x.n.02'), Synset('domestic.s.05'), Synset('use.v.01'), Synset('export.v.02'), Synset('sum.n.02'), Synset('use.v.01'), Synset('goal.n.01'), Synset('store.n.02'), Synset('note.v.04'), Synset('season.n.03'), Synset('begin.v.10'), Synset('june.n.01')]","['x.n.02', 'include.v.03', 'significance.n.02', 'hard.s.10', 'spring.n.04', 'startle.n.01', 'store.n.02', 'production.n.06', 'supply.v.01', 'x.n.02', 'domestic.s.05', 'use.v.01', 'export.v.02', 'sum.n.02', 'use.v.01', 'goal.n.01', 'store.n.02', 'note.v.04', 'season.n.03', 'begin.v.10', 'june.n.01']"
39,3,X- Includes- imports,"[Synset('x.n.02'), Synset('include.v.03'), Synset('spell.v.02')]","['x.n.02', 'include.v.03', 'spell.v.02']"
39,4,SOFT- RED- Start- Stocks- Production- Ttl- Supply- X- Domestic- Use- Exports- Total- Use- End- Stocks- Note- Season- begins- June,"[Synset('soft.s.10'), Synset('red.s.01'), Synset('startle.n.01'), Synset('store.n.02'), Synset('production.n.06'), Synset('supply.v.01'), Synset('x.n.02'), Synset('domestic.s.05'), Synset('use.v.01'), Synset('export.v.02'), Synset('sum.n.02'), Synset('use.v.01'), Synset('goal.n.01'), Synset('store.n.02'), Synset('note.v.04'), Synset('season.n.03'), Synset('begin.v.10'), Synset('june.n.01')]","['soft.s.10', 'red.s.01', 'startle.n.01', 'store.n.02', 'production.n.06', 'supply.v.01', 'x.n.02', 'domestic.s.05', 'use.v.01', 'export.v.02', 'sum.n.02', 'use.v.01', 'goal.n.01', 'store.n.02', 'note.v.04', 'season.n.03', 'begin.v.10', 'june.n.01']"
39,5,X- Includes- imports- WHITE- Start- Stocks- Production- Ttl- Supply- X- Domestic- Use- Exports- Total- Use- End- Stocks- Note- Season- begins- June,"[Synset('x.n.02'), Synset('include.v.03'), Synset('significance.n.02'), Synset('white.n.09'), Synset('startle.n.01'), Synset('store.n.02'), Synset('production.n.06'), Synset('supply.v.01'), Synset('x.n.02'), Synset('domestic.s.05'), Synset('use.v.01'), Synset('export.v.02'), Synset('sum.n.02'), Synset('use.v.01'), Synset('goal.n.01'), Synset('store.n.02'), Synset('note.v.04'), Synset('season.n.03'), Synset('begin.v.10'), Synset('june.n.01')]","['x.n.02', 'include.v.03', 'significance.n.02', 'white.n.09', 'startle.n.01', 'store.n.02', 'production.n.06', 'supply.v.01', 'x.n.02', 'domestic.s.05', 'use.v.01', 'export.v.02', 'sum.n.02', 'use.v.01', 'goal.n.01', 'store.n.02', 'note.v.04', 'season.n.03', 'begin.v.10', 'june.n.01']"
39,6,X- Includes- imports,"[Synset('x.n.02'), Synset('include.v.03'), Synset('spell.v.02')]","['x.n.02', 'include.v.03', 'spell.v.02']"
